,Country,summer_rates,winter_rates,Continent
0,Unified Team,368.0,71.0,Default
1,Soviet Union,358.6666666666667,68.88888888888889,Default
2,United States,303.7037037037037,41.08695652173913,Default
3,East Germany,255.8,56.333333333333336,Default
4,Russia,211.66666666666666,64.0,Default
5,China,177.6,15.454545454545455,Asia
6,United Team of Germany,112.66666666666667,21.0,Default
7,West Germany,112.4,18.833333333333332,Default
8,Germany,110.4375,65.33333333333333,Europe
9,Great Britain,88.96428571428571,3.608695652173913,Default
10,France,73.07142857142857,14.695652173913043,Europe
11,Italy,65.07407407407408,15.478260869565217,Europe
12,Japan,58.04545454545455,7.523809523809524,Asia
13,Hungary,57.11538461538461,0.6521739130434783,Europe
14,Australia,54.26923076923077,2.3684210526315788,Oceania
15,Ukraine,53.5,3.142857142857143,Europe
16,Sweden,52.370370370370374,20.782608695652176,Europe
17,South Korea,47.11764705882353,13.555555555555555,Default
18,Romania,40.57142857142857,0.047619047619047616,Europe
19,Finland,35.08,20.217391304347824,Europe
20,Poland,34.38095238095238,2.782608695652174,Europe
21,Cuba,33.65,0.0,North America
22,Netherlands,31.115384615384617,18.952380952380953,Europe
23,Belarus,30.0,8.571428571428571,Europe
24,Bulgaria,29.8,0.7,Europe
25,Canada,29.307692307692307,26.91304347826087,North America
26,Czechoslovakia,27.3125,3.0625,Default
27,Kazakhstan,27.0,2.5714285714285716,Asia
28,Czech Republic,25.0,12.714285714285714,Default
29,Kenya,21.571428571428573,0.0,Africa
30,Spain,19.91304347826087,0.4,Europe
31,Mixed team,19.666666666666668,0.0,Default
32,Switzerland,19.357142857142858,20.217391304347824,Europe
33,Denmark,19.333333333333332,0.21428571428571427,Europe
34,Norway,18.96,49.82608695652174,Europe
35,Australasia,16.0,0.0,Default
36,Belgium,15.923076923076923,0.6666666666666666,Europe
37,Azerbaijan,15.5,0.0,Europe
38,New Zealand,15.434782608695652,0.3125,Oceania
39,North Korea,15.0,0.4444444444444444,Default
40,Yugoslavia,14.666666666666666,0.625,Default
41,Slovakia,14.666666666666666,4.0,Europe
42,Brazil,14.545454545454545,0.0,South America
43,Croatia,13.857142857142858,4.875,Europe
44,Jamaica,13.823529411764707,0.0,North America
45,Georgia,13.5,0.0,Europe
46,Turkey,13.409090909090908,0.0,Asia
47,South Africa,13.263157894736842,0.0,Africa
48,Ethiopia,12.538461538461538,0.0,Africa
49,Uzbekistan,12.5,0.7142857142857143,Asia
50,Greece,11.928571428571429,0.0,Europe
51,Iran,11.8125,0.0,Asia
52,Serbia,9.75,0.0,Europe
53,Argentina,8.666666666666666,0.0,South America
54,Slovenia,8.428571428571429,4.375,Europe
55,Austria,8.333333333333334,28.26086956521739,Europe
56,Mexico,7.3478260869565215,0.0,North America
57,Estonia,7.333333333333333,2.7,Europe
58,Lithuania,7.0,0.0,Europe
59,Russian Empire,6.666666666666667,0.0,Default
60,Serbia and Montenegro,6.0,0.0,Default
61,Indonesia,5.733333333333333,0.0,Asia
62,Armenia,5.666666666666667,0.0,Europe
63,Thailand,5.3125,0.0,Asia
64,Independent Olympic Participants,5.0,0.0,Default
65,Kosovo,5.0,0.0,Default
66,Latvia,4.818181818181818,1.4545454545454546,Europe
67,Mongolia,4.153846153846154,0.0,Asia
68,Chinese Taipei,4.142857142857143,0.0,Default
69,Ireland,4.142857142857143,0.0,Europe
70,Morocco,4.071428571428571,0.0,Africa
71,Egypt,3.6363636363636362,0.0,Africa
72,Nigeria,3.5625,0.0,Africa
73,Colombia,3.473684210526316,0.0,South America
74,Algeria,3.4615384615384617,0.0,Africa
75,India,3.25,0.0,Asia
76,Bahamas,2.625,0.0,North America
77,Tunisia,2.357142857142857,0.0,Africa
78,Portugal,2.3333333333333335,0.0,Europe
79,Trinidad and Tobago,2.2941176470588234,0.0,North America
80,Zimbabwe,2.1538461538461537,0.0,Africa
81,British West Indies,2.0,0.0,Default
82,Bohemia,2.0,0.0,Default
83,Independent Olympic Athletes,2.0,0.0,Default
84,Malaysia,1.9230769230769231,0.0,Asia
85,Namibia,1.7142857142857142,0.0,Africa
86,Tajikistan,1.6666666666666667,0.0,Asia
87,Pakistan,1.6470588235294117,0.0,Asia
88,Dominican Republic,1.6428571428571428,0.0,North America
89,Venezuela,1.6111111111111112,0.0,South America
90,Chile,1.5217391304347827,0.0,South America
91,Moldova,1.5,0.0,Europe
92,Bahrain,1.4444444444444444,0.0,Asia
93,Cameroon,1.4285714285714286,0.0,Africa
94,Uganda,1.4,0.0,Africa
95,Burundi,1.3333333333333333,0.0,Africa
96,Uruguay,1.0476190476190477,0.0,South America
97,Montenegro,1.0,0.0,Europe
98,Kyrgyzstan,1.0,0.0,Asia
99,Puerto Rico,0.9444444444444444,0.0,Default
100,Israel,0.9375,0.0,Asia
101,Vietnam,0.9333333333333333,0.0,Asia
102,Grenada,0.8888888888888888,0.0,North America
103,Singapore,0.8125,0.0,Asia
104,Peru,0.7777777777777778,0.0,South America
105,Qatar,0.7777777777777778,0.0,Asia
106,Philippines,0.7619047619047619,0.0,Asia
107,Syria,0.6923076923076923,0.0,Asia
108,Ivory Coast,0.6923076923076923,0.0,Africa
109,Costa Rica,0.6666666666666666,0.0,North America
110,United Arab Emirates,0.6666666666666666,0.0,Asia
111,Mozambique,0.6,0.0,Africa
112,Ecuador,0.5714285714285714,0.0,South America
113,Hong Kong,0.5625,0.0,Default
114,Jordan,0.5,0.0,Asia
115,Suriname,0.5,0.0,South America
116,Lebanon,0.47058823529411764,0.0,Asia
117,Tanzania,0.46153846153846156,0.0,Africa
118,Saudi Arabia,0.45454545454545453,0.0,Asia
119,Ghana,0.42857142857142855,0.0,Africa
120,Panama,0.4117647058823529,0.0,North America
121,Iceland,0.4,0.0,Europe
122,Fiji,0.35714285714285715,0.0,Oceania
123,Sri Lanka,0.35294117647058826,0.0,Asia
124,Luxembourg,0.34782608695652173,0.6666666666666666,Europe
125,Niger,0.3333333333333333,0.0,Africa
126,Tonga,0.3333333333333333,0.0,Oceania
127,Samoa,0.3333333333333333,0.0,Oceania
128,Zambia,0.3076923076923077,0.0,Africa
129,Botswana,0.3,0.0,Africa
130,Gabon,0.3,0.0,Africa
131,Cyprus,0.3,0.0,Europe
132,Haiti,0.26666666666666666,0.0,North America
133,Paraguay,0.25,0.0,South America
134,Virgin Islands,0.25,0.0,Default
135,Sudan,0.25,0.0,Africa
136,Netherlands Antilles,0.23076923076923078,0.0,Default
137,Guatemala,0.21428571428571427,0.0,North America
138,Senegal,0.21428571428571427,0.0,Africa
139,Eritrea,0.2,0.0,Africa
140,Macedonia,0.16666666666666666,0.0,Europe
141,Kuwait,0.16666666666666666,0.0,Asia
142,Afghanistan,0.14285714285714285,0.0,Asia
143,Djibouti,0.125,0.0,Africa
144,Mauritius,0.1111111111111111,0.0,Africa
145,Togo,0.1,0.0,Africa
146,Barbados,0.08333333333333333,0.0,North America
147,Iraq,0.07142857142857142,0.0,Asia
148,Guyana,0.058823529411764705,0.0,South America
149,Bermuda,0.05555555555555555,0.0,Default
150,Olympic Athletes from Russia,0.0,37.0,Default
151,Liechtenstein,0.0,1.1578947368421053,Europe
